user_id,post_id,action,time,id
6525,3101,like,2021-11-29 17:27:19,6734721
30225,3017,view,2021-11-29 17:27:19,6734722
147663,3051,like,2021-11-29 17:27:19,6734723
145010,3074,view,2021-11-29 17:27:19,6734724
126344,2893,view,2021-11-29 17:27:19,6734725
147241,2877,view,2021-11-29 17:27:19,6734726
16445,3149,view,2021-11-29 17:27:19,6734727
27252,3069,view,2021-11-29 17:27:19,6734728
142042,3066,like,2021-11-29 17:27:19,6734729
130784,3083,like,2021-11-29 17:27:19,6734730
146671,3066,view,2021-11-29 17:27:19,6734731
124085,3101,view,2021-11-29 17:27:20,6734732
143146,3066,view,2021-11-29 17:27:20,6734733
143917,2990,like,2021-11-29 17:27:20,6734734
2627,3105,view,2021-11-29 17:27:20,6734735
110947,3085,view,2021-11-29 17:27:20,6734736
125949,3003,like,2021-11-29 17:27:20,6734737
110050,3062,view,2021-11-29 17:27:20,6734738
8197,3108,view,2021-11-29 17:27:20,6734739
4916,3001,view,2021-11-29 17:27:21,6734740
120410,3083,view,2021-11-29 17:27:21,6734741
6525,3182,view,2021-11-29 17:27:21,6734742
9353,3065,like,2021-11-29 17:27:21,6734743
12587,3060,view,2021-11-29 17:27:21,6734744
37310,3101,view,2021-11-29 17:27:21,6734745
136702,3131,view,2021-11-29 17:27:21,6734746
144344,2959,view,2021-11-29 17:27:21,6734747
148244,3033,view,2021-11-29 17:27:21,6734748
136983,2985,like,2021-11-29 17:27:22,6734749
130309,3174,view,2021-11-29 17:27:22,6734750
33653,3166,view,2021-11-29 17:27:22,6734751
36643,3109,view,2021-11-29 17:27:22,6734752
142657,2987,view,2021-11-29 17:27:22,6734753
7808,3070,view,2021-11-29 17:27:22,6734754
32733,3108,like,2021-11-29 17:27:22,6734755
36771,3065,view,2021-11-29 17:27:23,6734756
138251,3001,view,2021-11-29 17:27:23,6734757
32399,3071,view,2021-11-29 17:27:23,6734758
145184,3189,view,2021-11-29 17:27:23,6734759
124085,3125,view,2021-11-29 17:27:23,6734760
143155,3118,view,2021-11-29 17:27:23,6734761
143917,3066,like,2021-11-29 17:27:23,6734762
38564,3051,view,2021-11-29 17:27:24,6734763
130564,2974,view,2021-11-29 17:27:24,6734764
132352,3166,view,2021-11-29 17:27:24,6734765
122888,3113,view,2021-11-29 17:27:25,6734766
125949,2932,view,2021-11-29 17:27:25,6734767
30793,3096,view,2021-11-29 17:27:25,6734768
148439,2986,like,2021-11-29 17:27:25,6734769
32399,2965,view,2021-11-29 17:27:25,6734770
146365,3109,view,2021-11-29 17:27:26,6734771
33376,3182,view,2021-11-29 17:27:26,6734772
7662,3182,view,2021-11-29 17:27:26,6734773
138251,3071,view,2021-11-29 17:27:26,6734774
49040,2980,view,2021-11-29 17:27:26,6734775
138334,2892,view,2021-11-29 17:27:26,6734776
36682,3060,view,2021-11-29 17:27:26,6734777
27332,2776,view,2021-11-29 17:27:26,6734778
38207,3087,like,2021-11-29 17:27:26,6734779
21177,3066,view,2021-11-29 17:27:27,6734780
9379,3149,view,2021-11-29 17:27:27,6734781
143146,3186,view,2021-11-29 17:27:27,6734782
120410,2997,view,2021-11-29 17:27:28,6734783
28769,2892,view,2021-11-29 17:27:28,6734784
138552,3101,view,2021-11-29 17:27:28,6734785
32510,3109,like,2021-11-29 17:27:28,6734786
131403,3133,view,2021-11-29 17:27:28,6734787
145653,3069,view,2021-11-29 17:27:28,6734788
39256,2974,view,2021-11-29 17:27:28,6734789
126514,2999,view,2021-11-29 17:27:28,6734790
133957,3090,view,2021-11-29 17:27:28,6734791
8197,3109,view,2021-11-29 17:27:28,6734792
147289,3062,view,2021-11-29 17:27:28,6734793
107995,3073,view,2021-11-29 17:27:29,6734794
147752,2877,like,2021-11-29 17:27:29,6734795
114261,3131,view,2021-11-29 17:27:29,6734796
12587,3081,view,2021-11-29 17:27:29,6734797
124085,3166,like,2021-11-29 17:27:29,6734798
148439,3108,view,2021-11-29 17:27:29,6734799
148384,3071,view,2021-11-29 17:27:29,6734800
28460,3108,view,2021-11-29 17:27:29,6734801
132927,3113,view,2021-11-29 17:27:29,6734802
